,game_id,away_team_id,home_team_id,away_team_name,home_team_name,away_score,home_score
1089,2022021092,12,10,Carolina Hurricanes,Toronto Maple Leafs,2,5
1090,2022021093,19,15,St. Louis Blues,Washington Capitals,5,2
1091,2022021094,29,24,Columbus Blue Jackets,Anaheim Ducks,4,7
1092,2022021095,21,17,Colorado Avalanche,Detroit Red Wings,5,1
1093,2022021096,6,30,Boston Bruins,Minnesota Wild,5,2
1094,2022021097,52,18,Winnipeg Jets,Nashville Predators,3,2
1095,2022021098,22,55,Edmonton Oilers,Seattle Kraken,6,4
1096,2022021099,12,4,Carolina Hurricanes,Philadelphia Flyers,5,4
1097,2022021100,1,13,New Jersey Devils,Florida Panthers,2,4
1098,2022021101,8,14,Montréal Canadiens,Tampa Bay Lightning,3,5
1099,2022021102,10,9,Toronto Maple Leafs,Ottawa Senators,5,4
1100,2022021103,5,3,Pittsburgh Penguins,New York Rangers,0,6
1101,2022021104,25,20,Dallas Stars,Calgary Flames,6,5
1102,2022021105,23,26,Vancouver Canucks,Los Angeles Kings,3,2
1103,2022021106,16,53,Chicago Blackhawks,Arizona Coyotes,2,4
1104,2022021107,2,28,New York Islanders,San Jose Sharks,4,1
1105,2022021108,6,7,Boston Bruins,Buffalo Sabres,7,0
1106,2022021109,15,30,Washington Capitals,Minnesota Wild,3,5
1107,2022021110,29,54,Columbus Blue Jackets,Vegas Golden Knights,2,7
1108,2022021111,18,3,Nashville Predators,New York Rangers,0,7
1109,2022021112,1,14,New Jersey Devils,Tampa Bay Lightning,5,2
1110,2022021113,52,19,Winnipeg Jets,St. Louis Blues,0,3
1111,2022021114,23,24,Vancouver Canucks,Anaheim Ducks,2,1
1112,2022021115,9,5,Ottawa Senators,Pittsburgh Penguins,2,1
1113,2022021116,13,17,Florida Panthers,Detroit Red Wings,5,2
1114,2022021117,16,21,Chicago Blackhawks,Colorado Avalanche,0,5
1115,2022021118,28,22,San Jose Sharks,Edmonton Oilers,4,5
1116,2022021119,20,26,Calgary Flames,Los Angeles Kings,2,8
1117,2022021120,12,3,Carolina Hurricanes,New York Rangers,3,2
1118,2022021121,29,15,Columbus Blue Jackets,Washington Capitals,7,6
1119,2022021122,13,4,Florida Panthers,Philadelphia Flyers,3,6
1120,2022021123,30,1,Minnesota Wild,New Jersey Devils,2,1
1121,2022021124,18,7,Nashville Predators,Buffalo Sabres,7,3
1122,2022021125,9,6,Ottawa Senators,Boston Bruins,1,2
1123,2022021126,14,8,Tampa Bay Lightning,Montréal Canadiens,2,3
1124,2022021127,10,2,Toronto Maple Leafs,New York Islanders,2,7
1125,2022021128,53,52,Arizona Coyotes,Winnipeg Jets,1,2
1126,2022021129,17,19,Detroit Red Wings,St. Louis Blues,3,2
1127,2022021130,55,25,Seattle Kraken,Dallas Stars,5,4
1128,2022021131,20,24,Calgary Flames,Anaheim Ducks,5,1
1129,2022021132,54,23,Vegas Golden Knights,Vancouver Canucks,4,3
1130,2022021133,5,21,Pittsburgh Penguins,Colorado Avalanche,5,2
1131,2022021134,53,22,Arizona Coyotes,Edmonton Oilers,3,4
1132,2022021136,30,4,Minnesota Wild,Philadelphia Flyers,4,5
1133,2022021135,16,15,Chicago Blackhawks,Washington Capitals,1,6
1134,2022021137,8,6,Montréal Canadiens,Boston Bruins,2,4
1135,2022021138,3,12,New York Rangers,Carolina Hurricanes,2,1
1136,2022021139,14,9,Tampa Bay Lightning,Ottawa Senators,2,7
1137,2022021140,10,13,Toronto Maple Leafs,Florida Panthers,6,2
1138,2022021141,19,17,St. Louis Blues,Detroit Red Wings,4,3
1139,2022021142,55,18,Seattle Kraken,Nashville Predators,1,2
1140,2022021143,5,25,Pittsburgh Penguins,Dallas Stars,2,3
1141,2022021144,54,20,Vegas Golden Knights,Calgary Flames,3,2
1142,2022021145,28,23,San Jose Sharks,Vancouver Canucks,2,7
1143,2022021146,52,24,Winnipeg Jets,Anaheim Ducks,3,2
1144,2022021147,2,29,New York Islanders,Columbus Blue Jackets,4,5
1145,2022021148,1,7,New Jersey Devils,Buffalo Sabres,4,5
1146,2022021149,53,21,Arizona Coyotes,Colorado Avalanche,1,3
1147,2022021150,17,4,Detroit Red Wings,Philadelphia Flyers,0,3
1148,2022021151,14,6,Tampa Bay Lightning,Boston Bruins,1,2
1149,2022021152,55,18,Seattle Kraken,Nashville Predators,7,2
1150,2022021153,28,20,San Jose Sharks,Calgary Flames,3,5
1151,2022021154,52,26,Winnipeg Jets,Los Angeles Kings,1,4
1152,2022021155,16,30,Chicago Blackhawks,Minnesota Wild,1,3
1153,2022021156,3,13,New York Rangers,Florida Panthers,4,3
1154,2022021157,7,2,Buffalo Sabres,New York Islanders,2,0
1155,2022021158,29,8,Columbus Blue Jackets,Montréal Canadiens,2,8
